dictionary,page_id,record_index,line_index,marker,status,start,end,primary_language,language_distribution,source_ranges,normalized_value,value
Evenki-Russian,page_1,10,91,va,compact,1028,1043,Evenki,Evenki:12,1028:1043,авгара̄нму-мӣ,авгара̄нму-мӣ
Evenki-Russian,page_1,10,92,gn,exact,1044,1060,Russian,Russian:15,1044:1060,быть вы́леченным,быть вы́леченным
Evenki-Russian,page_1,11,93,lx,exact,1062,1070,Evenki,Evenki:8,1062:1070,авгара̄т,авгара̄т
Evenki-Russian,page_1,11,94,dl,exact,10,13,meta,,10:13,п-т,П-Т
Evenki-Russian,page_1,11,95,xv,exact,1076,1091,Evenki,Evenki:13,1076:1091,авгара̄т бикэл!,авгара̄т бикэл!
Evenki-Russian,page_1,11,96,xn,exact,1111,1124,Russian,Russian:11,1111:1124,будь здоро́в!,будь здоро́в!
Evenki-Russian,page_1,11,97,xv,exact,1093,1110,Evenki,Evenki:15,1093:1110,авгара̄т бидекэл!,авгара̄т бидекэл!
Evenki-Russian,page_1,11,98,xn,exact,1126,1134,Russian,Russian:7,1126:1134,проща́й!,проща́й!
Evenki-Russian,page_1,11,99,lt,exact,1135,1155,Russian,Russian:17,1135:1155,букв. здоро́во живи́,букв. здоро́во живи́
Evenki-Russian,page_1,11,100,cf,exact,1162,1170,Evenki,Evenki:8,1162:1170,абгара̄т,абгара̄т
Evenki-Russian,page_1,12,101,lx,exact,1172,1184,Evenki,Evenki:12,1172:1184,авгискӣта̄нэ,авгискӣта̄нэ
Evenki-Russian,page_1,12,102,dl,exact,1185,1209,meta,,1185:1209,п-т; н; тнг; з; учр; урм,"П-Т, Н, Тнг, З, Учр, Урм"
Evenki-Russian,page_1,12,103,gn,exact,1210,1265,Russian,Russian:45,1210:1265,в ра́зных места́х; в ра́зные места́; по ра́зным места́м,в ра́зных места́х; в ра́зные места́; по ра́зным места́м
Evenki-Russian,page_1,12,104,xv,exact,1267,1310,Evenki,Evenki:40,1267:1310,орочӣл бригадал авгискӣта̄нэ нулгиктэдечэ̄л,орочӣл бригадал авгискӣта̄нэ нулгиктэдечэ̄л
Evenki-Russian,page_1,12,105,xn,compact,1311,1362,Russian,Russian:44,1311:1362,брига́ды оленево́дов кочева́ли по ра́зным места́м,брига́ды оленево́дов кочева́ли по ра́зным места́м
Evenki-Russian,page_1,13,106,lx,exact,1364,1369,Evenki,Evenki:5,1364:1369,авгит,авгит
Evenki-Russian,page_1,13,107,sn,structural,,,meta,,,1,1
Evenki-Russian,page_1,13,108,dl,exact,1373,1394,meta,,1373:1394,п-т; н; и; з; учр; сх,"П-Т, Н, И, З, Учр, Сх"
Evenki-Russian,page_1,13,109,gn,exact,1395,1402,Russian,Russian:7,1395:1402,отку́да,отку́да
Evenki-Russian,page_1,13,110,xv,exact,1404,1419,Evenki,Evenki:14,1404:1419,авгит эдындерэн,авгит эдындерэн
Evenki-Russian,page_1,13,111,xn,exact,1420,1434,Russian,Russian:12,1420:1434,отку́да ду́ет?,отку́да ду́ет?
Evenki-Russian,page_1,13,112,sn,structural,,,meta,,,2,2
Evenki-Russian,page_1,13,113,dl,exact,2700,2702,meta,,2700:2702,сх,Сх
Evenki-Russian,page_1,13,114,gn,exact,1442,1459,Russian,Russian:15,1442:1459,из любо́го ме́ста,из любо́го ме́ста
Evenki-Russian,page_1,13,115,cf,exact,1465,1472,Evenki,Evenki:7,1465:1472,авгӯгит,авгӯгит
Evenki-Russian,page_1,14,116,lx,exact,1474,1483,Evenki,Evenki:8,1474:1483,авгит-вал,авгит-вал
Evenki-Russian,page_1,14,117,dl,exact,1373,1394,meta,,1373:1394,п-т; н; и; з; учр; сх,"П-Т, Н, И, З, Учр, Сх"
Evenki-Russian,page_1,14,118,gn,exact,1506,1520,Russian,Russian:13,1506:1520,отку́да-нибудь,отку́да-нибудь
Evenki-Russian,page_1,15,119,lx,exact,1522,1531,Evenki,Evenki:8,1522:1531,авгит-та̄,авгит-та̄
Evenki-Russian,page_1,15,120,dl,exact,1373,1394,meta,,1373:1394,п-т; н; и; з; учр; сх,"П-Т, Н, И, З, Учр, Сх"
Evenki-Russian,page_1,15,121,gn,exact,1554,1563,Russian,Russian:9,1554:1563,ниотку́да,ниотку́да
Evenki-Russian,page_1,16,122,lx,exact,385,389,Evenki,Evenki:4,385:389,авгӯ,авгӯ
Evenki-Russian,page_1,16,123,sn,structural,,,meta,,,1,1
Evenki-Russian,page_1,16,124,dl,exact,1576,1614,meta,,1576:1614,п-т; н; с-б; брг; з; учр; урм; чмк; сх,"П-Т, Н, С-Б, Брг, З, Учр, Урм, Чмк, Сх"
Evenki-Russian,page_1,16,125,gn,exact,371,379,Russian,Russian:8,371:379,кото́рый,кото́рый
Evenki-Russian,page_1,16,126,un,exact,1624,1632,Russian,Russian:7,1624:1632,по счёту,по счёту
Evenki-Russian,page_1,16,127,sn,structural,,,meta,,,2,2
Evenki-Russian,page_1,16,128,dl,exact,367,370,meta,,367:370,с-б,С-Б
Evenki-Russian,page_1,16,129,gn,exact,1642,1648,Russian,Russian:6,1642:1648,како́й,како́й
Evenki-Russian,page_1,16,130,dl,exact,205,207,meta,,205:207,сх,Сх
Evenki-Russian,page_1,16,131,gn,compact,1656,1702,Russian,Russian:37,1656:1702,любо́е ме́сто; кро́ме того́; где нахо́дишься,"любо́е ме́сто, кро́ме того́, где нахо́дишься"
Evenki-Russian,page_1,16,132,un,exact,1703,1717,Russian,Russian:12,1703:1717,сидишь; стоишь,"сидишь, стоишь"
Evenki-Russian,page_1,16,133,cf,exact,1724,1728,Evenki,Evenki:4,1724:1728,абгӯ,абгӯ
Evenki-Russian,page_1,16,134,cf,exact,1730,1735,Evenki,Evenki:5,1730:1735,ававӯ,ававӯ
Evenki-Russian,page_1,16,135,cf,exact,1737,1742,Evenki,Evenki:5,1737:1742,авагӯ,авагӯ
Evenki-Russian,page_1,16,136,cf,exact,357,361,Evenki,Evenki:4,357:361,аввӯ,аввӯ
Evenki-Russian,page_1,16,137,cf,exact,515,521,Evenki,Evenki:6,515:521,авгагӯ,авгагӯ
Evenki-Russian,page_1,16,138,cf,exact,499,505,Evenki,Evenki:6,499:505,авгавӯ,авгавӯ
Evenki-Russian,page_1,16,139,cf,exact,1768,1774,Evenki,Evenki:6,1768:1774,ады̄гӣ,ады̄гӣ
Evenki-Russian,page_1,16,140,et,compact,1776,1783,Evenki,Evenki:3,1776:1783,[сол] агу,[Сол] агу
Evenki-Russian,page_1,16,141,eg,exact,1784,1796,Russian,Russian:10,1784:1796,кто; вся́кий,"кто, вся́кий"
Evenki-Russian,page_1,16,142,et,compact,1798,1808,Evenki,Evenki:5,1798:1808,[эвен] авгуг,[Эвен] авгуг
Evenki-Russian,page_1,16,143,eg,exact,1809,1826,Russian,Russian:14,1809:1826,кото́рый; что́ за,"кото́рый, что́ за"
Evenki-Russian,page_1,16,144,et,compact,1828,1838,Evenki,Evenki:9,1828:1838,[орок] хайду,[Орок] хайду
Evenki-Russian,page_1,16,145,eg,exact,371,379,Russian,Russian:8,371:379,кото́рый,кото́рый
Evenki-Russian,page_1,16,146,et,compact,1840,1855,Evenki,Evenki:5,1840:1855,[ульч; нан] хавуй,"[Ульч, Нан] хавуй"
Evenki-Russian,page_1,16,147,eg,exact,371,379,Russian,Russian:8,371:379,кото́рый,кото́рый
Evenki-Russian,page_1,17,148,lx,exact,1869,1877,Evenki,Evenki:7,1869:1877,авгӯ-вал,авгӯ-вал
Evenki-Russian,page_1,17,149,dl,exact,401,407,meta,,401:407,п-т; н,"П-Т, Н"
Evenki-Russian,page_1,17,150,gn,compact,1885,1911,Russian,Russian:20,1885:1911,како́й-то; како́й-нибудь,"како́й-то, како́й-нибудь"
Evenki-Russian,page_1,17,151,cf,exact,1917,1925,Evenki,Evenki:7,1917:1925,абгӯ-вал,абгӯ-вал
Evenki-Russian,page_1,18,152,lx,exact,1465,1472,Evenki,Evenki:7,1465:1472,авгӯгит,авгӯгит
Evenki-Russian,page_1,18,153,dl,exact,401,407,meta,,401:407,п-т; н,"П-Т, Н"
Evenki-Russian,page_1,18,154,gn,exact,1395,1402,Russian,Russian:7,1395:1402,отку́да,отку́да
Evenki-Russian,page_1,18,155,cf,exact,1364,1369,Evenki,Evenki:5,1364:1369,авгит,авгит
Evenki-Russian,page_1,19,156,lx,exact,1962,1968,Evenki,Evenki:6,1962:1968,авгӯдӯ,авгӯдӯ
Evenki-Russian,page_1,19,157,dl,exact,1969,2002,meta,,1969:2002,п-т; н; с-б; брг; з; учр; урм; сх,"П-Т, Н, С-Б, Брг, З, Учр, Урм, Сх"
Evenki-Russian,page_1,19,158,gn,compact,2003,2026,Russian,Russian:16,2003:2026,где?; в како́м ме́сте?,"где?, в како́м ме́сте?"
Evenki-Russian,page_1,20,159,lx,exact,589,597,Evenki,Evenki:7,589:597,авгун-мӣ,авгун-мӣ
Evenki-Russian,page_1,20,160,dl,exact,2037,2059,meta,,2037:2059,олкм; тнг; з; хнг; учр,"Олкм, Тнг, З, Хнг, Учр"
Evenki-Russian,page_1,20,161,gn,exact,2060,2081,Russian,Russian:19,2060:2081,завя́нуть; пожелте́ть,"завя́нуть, пожелте́ть"
Evenki-Russian,page_1,20,162,un,compact,2082,2100,Russian,Russian:13,2082:2100,о листьях; траве,"о листьях, траве"
Evenki-Russian,page_1,20,163,cf,exact,2107,2114,Evenki,Evenki:6,2107:2114,абгӯ-мӣ,абгӯ-мӣ
Evenki-Russian,page_1,20,164,cf,compact,2116,2127,Evenki,Evenki:8,2116:2127,авганӣ-мӣ,авганӣ-мӣ
Evenki-Russian,page_1,21,165,lx,exact,673,681,Evenki,Evenki:8,673:681,авгунча̄,авгунча̄
Evenki-Russian,page_1,21,166,dl,exact,2138,2163,meta,,2138:2163,тнг; з; хнг; учр; урм; сх,"Тнг, З, Хнг, Учр, Урм, Сх"
Evenki-Russian,page_1,21,167,sn,structural,,,meta,,,1,1
Evenki-Russian,page_1,21,168,gn,exact,616,635,Russian,Russian:18,616:635,пожелте́вшая трава́,пожелте́вшая трава́
Evenki-Russian,page_1,21,169,sn,structural,,,meta,,,2,2
Evenki-Russian,page_1,21,170,gn,exact,2191,2213,Russian,Russian:20,2191:2213,увя́дший; пожелте́вший,"увя́дший, пожелте́вший"
Evenki-Russian,page_1,21,171,un,exact,2214,2229,Russian,Russian:12,2214:2229,о траве; листве,"о траве, листве"
Evenki-Russian,page_1,21,172,cf,exact,599,608,Evenki,Evenki:9,599:608,авганича̄,авганича̄
Evenki-Russian,page_1,22,173,lx,exact,2247,2253,Evenki,Evenki:6,2247:2253,август,август
Evenki-Russian,page_1,22,174,gn,exact,2254,2261,Russian,Russian:7,2254:2261,а́вгуст,а́вгуст
Evenki-Russian,page_1,23,175,lx,exact,2263,2268,Evenki,Evenki:5,2263:2268,авдан,авдан
Evenki-Russian,page_1,23,176,dl,exact,2706,2707,Russian,Russian:1,2706:2707,с,С
Evenki-Russian,page_1,23,177,va,exact,2272,2279,Evenki,Evenki:7,2272:2279,авданда,авданда
Evenki-Russian,page_1,23,178,dl,compact,2280,2297,meta,,2280:2297,с-б; бнт; учр; чмк,"С-Б, Бнт, Учр, Чмк"
Evenki-Russian,page_1,23,179,gn,exact,658,662,Russian,Russian:4,658:662,лист,лист
Evenki-Russian,page_1,23,180,cf,exact,2308,2315,Evenki,Evenki:7,2308:2315,авданна,авданна
Evenki-Russian,page_1,24,181,lx,exact,2308,2315,Evenki,Evenki:7,2308:2315,авданна,авданна
Evenki-Russian,page_1,24,182,dl,exact,2325,2364,meta,,2325:2364,п-т; н; е; и; брг; з; алд; урм; чмк; сх,"П-Т, Н, Е, И, Брг, З, Алд, Урм, Чмк, Сх"
Evenki-Russian,page_1,24,183,gn,exact,658,662,Russian,Russian:4,658:662,лист,лист
Evenki-Russian,page_1,24,184,un,compact,2370,2380,Russian,Russian:8,2370:2380,растения,растения
Evenki-Russian,page_1,24,185,cf,exact,2387,2392,Evenki,Evenki:5,2387:2392,абдан,абдан
Evenki-Russian,page_1,24,186,cf,exact,2394,2401,Evenki,Evenki:7,2394:2401,абданда,абданда
Evenki-Russian,page_1,24,187,cf,compact,2403,2413,Evenki,Evenki:8,2403:2413,абдандра,абдандра
Evenki-Russian,page_1,24,188,cf,exact,2415,2422,Evenki,Evenki:7,2415:2422,абданна,абданна
Evenki-Russian,page_1,24,189,cf,exact,2424,2431,Evenki,Evenki:7,2424:2431,абдарна,абдарна
Evenki-Russian,page_1,24,190,cf,compact,2433,2442,Evenki,Evenki:7,2433:2442,абдонно,абдонно
Evenki-Russian,page_1,24,191,cf,exact,2263,2268,Evenki,Evenki:5,2263:2268,авдан,авдан
Evenki-Russian,page_1,24,192,cf,exact,2272,2279,Evenki,Evenki:7,2272:2279,авданда,авданда
Evenki-Russian,page_1,24,193,cf,exact,2613,2620,Evenki,Evenki:7,2613:2620,авдарна,авдарна
Evenki-Russian,page_1,24,194,cf,exact,2471,2476,Evenki,Evenki:5,2471:2476,аудан,аудан
Evenki-Russian,page_1,24,195,et,compact,2478,2488,Evenki,Evenki:6,2478:2488,[нег] абдана,[Нег] абдана
Evenki-Russian,page_1,24,196,et,compact,2490,2502,Evenki,Evenki:7,2490:2502,[эвен] эбдэнрэ,[Эвен] эбдэнрэ
Evenki-Russian,page_1,24,197,et,compact,2504,2515,Evenki,Evenki:7,2504:2515,[ороч] абдаса,[Ороч] абдаса
Evenki-Russian,page_1,24,198,et,compact,2517,2530,Evenki,Evenki:8,2517:2530,[орок] хамдатта,[Орок] хамдатта
Evenki-Russian,page_1,24,199,et,compact,2532,2542,Evenki,Evenki:7,2532:2542,[удэ] абдехэ,[Удэ] абдехэ
Evenki-Russian,page_1,24,200,et,compact,2544,2561,Evenki,Evenki:7,2544:2561,[ульч; нан] хабдата,"[Ульч, Нан] хабдата"
Evenki-Russian,page_1,24,201,et,compact,2563,2580,Evenki,Evenki:12,2563:2580,[ман] абдаха; афаха,"[Ман] абдаха, афаха"
Evenki-Russian,page_1,25,202,lx,exact,2583,2593,Evenki,Evenki:10,2583:2593,авданнакāн,авданнакāн
Evenki-Russian,page_1,25,203,gn,exact,2594,2612,Russian,Russian:16,2594:2612,лепесто́к; листо́к,"лепесто́к, листо́к"
Evenki-Russian,page_1,26,204,lx,exact,2613,2620,Evenki,Evenki:7,2613:2620,авдарна,авдарна
Evenki-Russian,page_1,26,205,dl,exact,715,718,meta,,715:718,тнг,Тнг
Evenki-Russian,page_1,26,206,gn,exact,658,662,Russian,Russian:4,658:662,лист,лист
Evenki-Russian,page_1,26,207,cf,exact,2308,2315,Evenki,Evenki:7,2308:2315,авданна,авданна
Evenki-Russian,page_1,27,208,lx,exact,2646,2650,Evenki,Evenki:4,2646:2650,авду,авду
Evenki-Russian,page_1,27,209,dl,exact,2651,2702,meta,,2651:2702,п-т; н; е; бнт; брг; тнг; з; учр; урм; чмк; с-б; сх,"П-Т, Н, Е, Бнт, Брг, Тнг, З, Учр, Урм, Чмк, С-Б, Сх"
Evenki-Russian,page_1,27,210,sn,structural,,,meta,,,1,1
Evenki-Russian,page_1,27,211,gn,exact,2706,2736,Russian,Russian:26,2706:2736,скот; ста́до дома́шних оле́ней,скот; ста́до дома́шних оле́ней
Greek-English,page_38,0,0,lx,exact,39,48,Greek,Greek:9,39:48,᾿αδραστος,᾿Αδραστος
Greek-English,page_38,0,1,cf,exact,54,67,Greek,Greek:13,54:67,᾿αναπόδραστος,᾿Αναπόδραστος
Greek-English,page_38,1,2,lx,exact,69,77,Greek,Greek:8,69:77,᾿αδράχνω,᾿Αδράχνω
Greek-English,page_38,1,3,ps,exact,79,83,English,English:2,79:83,v. a,v. a
Greek-English,page_38,1,4,ue,exact,85,88,English,English:3,85:88,vul,vul
Greek-English,page_38,1,5,ge,exact,90,108,English,English:14,90:108,to seize; to catch,"to seize, to catch"
Greek-English,page_38,2,6,lx,exact,110,123,Greek,Greek:11,110:123,᾿αδρεπτος; ον,"᾿Αδρεπτος, ον"
Greek-English,page_38,2,7,ps,exact,125,126,English,English:1,125:126,a,a
Greek-English,page_38,2,8,ge,exact,128,162,English,English:29,128:162,unplucked; ungathered; not cropped,"unplucked, ungathered, not cropped"
Greek-English,page_38,3,9,lx,exact,164,177,Greek,Greek:9,164:177,῾αδρὸς; ὰ; ὸν,"῾Αδρὸς, ὰ, ὸν"
Greek-English,page_38,3,10,ps,exact,179,180,English,English:1,179:180,a,a
Greek-English,page_38,3,11,ge,exact,182,236,English,English:42,182:236,magnificent; great; abundant; rich; robust; big; large,"magnificent, great, abundant, rich, robust, big, large"
Greek-English,page_38,4,12,lx,exact,238,252,Greek,Greek:12,238:252,῾αδρότης; ητος,"῾Αδρότης, ητος"
Greek-English,page_38,4,13,ps,exact,254,258,English,English:2,254:258,s. f,s. f
Greek-English,page_38,4,14,ge,compact,260,303,English,English:35,260:303,abundance; exuberance; largeness; bigness,"abundance, exuberance, largeness, bigness"
Greek-English,page_38,5,15,lx,exact,305,311,Greek,Greek:6,305:311,῾αδρῶς,῾Αδρῶς
Greek-English,page_38,5,16,ps,exact,313,316,English,English:3,313:316,adv,adv
Greek-English,page_38,5,17,ge,compact,318,383,English,English:52,318:383,abundantly; magnificently; with profusion; richly; handsomely,"abundantly, magnificently, with profusion, richly, handsomely"
Greek-English,page_38,6,18,lx,exact,385,398,Greek,Greek:11,385:398,᾿αδυναμία; ας,"᾿Αδυναμία, ας"
Greek-English,page_38,6,19,ps,exact,400,404,English,English:2,400:404,s. f,s. f
Greek-English,page_38,6,20,ge,compact,406,462,English,English:46,406:462,weakness; feebleness; debility; languidness; inability,"weakness, feebleness, debility, languidness, inability"
Greek-English,page_38,7,21,lx,exact,464,479,Greek,Greek:13,464:479,᾿αδυνάμωτος; ον,"᾿Αδυνάμωτος, ον"
Greek-English,page_38,7,22,ps,exact,481,482,English,English:1,481:482,a,a
Greek-English,page_38,7,23,ge,exact,484,515,English,English:27,484:515,not strengthened; not fortified,"not strengthened, not fortified"
Greek-English,page_38,8,24,lx,exact,517,534,Greek,Greek:15,517:534,᾿αδυνάστευτος; ον,"᾿Αδυνάστευτος, ον"
Greek-English,page_38,8,25,ps,exact,536,537,English,English:1,536:537,a,a
Greek-English,page_38,8,26,ge,exact,539,552,English,English:12,539:552,not oppressed,not oppressed
Greek-English,page_38,9,27,lx,exact,554,562,Greek,Greek:8,554:562,᾿αδύνατα,᾿Αδύνατα
Greek-English,page_38,9,28,ps,exact,564,567,English,English:3,564:567,adv,adv
Greek-English,page_38,9,29,ue,exact,569,572,English,English:3,569:572,vul,vul
Greek-English,page_38,9,30,ge,compact,574,602,English,English:22,574:602,weakly; feebly; impossibly,"weakly, feebly, impossibly"
Greek-English,page_38,10,31,lx,exact,604,614,Greek,Greek:10,604:614,᾿αδυνατίζω,᾿Αδυνατίζω
Greek-English,page_38,10,32,sn,structural,,,meta,,,1,1
Greek-English,page_38,10,33,ps,exact,616,620,English,English:2,616:620,v. a,v. a
Greek-English,page_38,10,34,ge,compact,622,646,English,English:18,622:646,to weaken; to enfeeble,"to weaken, to enfeeble"
Greek-English,page_38,10,35,sn,structural,,,meta,,,2,2
Greek-English,page_38,10,36,ps,exact,648,652,English,English:2,648:652,v. n,v. n
Greek-English,page_38,10,37,ge,exact,654,676,English,English:18,654:676,to become weak; feeble,"to become weak, feeble"
Greek-English,page_38,10,38,sn,structural,,,meta,,,3,3
Greek-English,page_38,10,39,uv,exact,678,692,Greek,Greek:13,678:692,γίνομαι ἰσχνὸς,γίνομαι ἰσχνὸς
Greek-English,page_38,10,40,ge,exact,694,714,English,English:16,694:714,to grow thin or lean,to grow thin or lean
Greek-English,page_38,11,41,lx,exact,716,733,Greek,Greek:15,716:733,᾿αδυνάτισμα; ατος,"᾿Αδυνάτισμα, ατος"
Greek-English,page_38,11,42,ps,exact,735,739,English,English:2,735:739,s. n,s. n
Greek-English,page_38,11,43,ge,compact,741,761,English,English:16,741:761,weakness; debility,"weakness, debility"
Greek-English,page_38,12,44,lx,exact,763,776,Greek,Greek:11,763:776,᾿αδύνατος; ον,"᾿Αδύνατος, ον"
Greek-English,page_38,12,45,ps,exact,778,779,English,English:1,778:779,a,a
Greek-English,page_38,12,46,sn,structural,,,meta,,,1,1
Greek-English,page_38,12,47,ge,exact,781,801,English,English:16,781:801,weak; feeble; infirm,"weak, feeble, infirm"
Greek-English,page_38,12,48,sn,structural,,,meta,,,2,2
Greek-English,page_38,12,49,ge,exact,803,812,English,English:8,803:812,cast-down,cast-down
Greek-English,page_38,12,50,sn,structural,,,meta,,,3,3
Greek-English,page_38,12,51,uv,exact,814,820,Greek,Greek:6,814:820,ἰσχνὸς,ἰσχνὸς
Greek-English,page_38,12,52,ge,exact,822,832,English,English:8,822:832,thin; poor,"thin, poor"
Greek-English,page_38,12,53,sn,structural,,,meta,,,4,4
Greek-English,page_38,12,54,uv,compact,834,847,Greek,Greek:11,834:847,ἀκατόρθωτος,ἀκατόρθωτος
Greek-English,page_38,12,55,ge,exact,849,874,English,English:23,849:874,impossible; impracticable,"impossible, impracticable"
Greek-English,page_38,12,56,se,exact,882,893,Greek,Greek:10,882:893,τὸ ἀδύνατον,τὸ ἀδύνατον
Greek-English,page_38,12,57,ps,exact,1454,1458,English,English:2,1454:1458,s. n,s. n
Greek-English,page_38,12,58,ge,exact,895,908,English,English:13,895:908,impossibility,impossibility
Greek-English,page_38,12,59,se,exact,910,929,Greek,Greek:17,910:929,εἶναι ὅλως ἀδύνατον,εἶναι ὅλως ἀδύνατον
Greek-English,page_38,12,60,ge,exact,931,964,English,English:28,931:964,to be utterly or quite impossible,to be utterly or quite impossible
Greek-English,page_38,12,61,se,exact,965,990,Greek,Greek:22,965:990,κάμνειν τὰ ἀδύνατα δυνατά,κάμνειν τὰ ἀδύνατα δυνατά
Greek-English,page_38,12,62,ge,exact,991,1020,English,English:23;Greek:2,991:1020,to do a seeming impossibility,to do a seeming impossibility
Greek-English,page_38,12,63,se,exact,1022,1039,Greek,Greek:16,1022:1039,καθιστᾷν ἀδύνατον,καθιστᾷν ἀδύνατον
Greek-English,page_38,12,64,ge,exact,1041,1061,English,English:18,1041:1061,to render impossible,to render impossible
Greek-English,page_38,12,65,se,exact,1063,1087,Greek,Greek:21,1063:1087,τοῦτο μὸὶ εἶναι ἀδύνατον,τοῦτο μὸὶ εἶναι ἀδύνατον
Greek-English,page_38,12,66,ge,exact,1089,1112,English,English:18,1089:1112,that is out of my power,that is out of my power
Greek-English,page_38,12,67,se,exact,1114,1137,Greek,Greek:21,1114:1137,ἀποβαίνει ὅλως ἀδύνατον,ἀποβαίνει ὅλως ἀδύνατον
Greek-English,page_38,12,68,ge,compact,1139,1173,English,English:29,1139:1173,it becomes altogether impossible,it becomes altogether impossible
Greek-English,page_38,13,69,lx,exact,1175,1187,Greek,Greek:10,1175:1187,᾿αδυνατῶ; έω,"᾿Αδυνατῶ, έω"
Greek-English,page_38,13,70,ps,exact,3431,3435,English,English:2,3431:3435,v. n,v. n
Greek-English,page_38,13,71,sn,structural,,,meta,,,1,1
Greek-English,page_38,13,72,ge,exact,1195,1209,English,English:11,1195:1209,not to be able,not to be able
Greek-English,page_38,13,73,sn,structural,,,meta,,,2,2
Greek-English,page_38,13,74,ge,exact,1211,1239,English,English:25,1211:1239,to find something impossible,to find something impossible
Greek-English,page_38,13,75,sn,structural,,,meta,,,3,3
Greek-English,page_38,13,76,ge,compact,1241,1287,English,English:34,1241:1287,to become or get weak; to become enfeebled,"to become or get weak, to become enfeebled"
Greek-English,page_38,13,77,sn,structural,,,meta,,,4,4
Greek-English,page_38,13,78,ge,exact,1289,1317,English,English:22,1289:1317,to become lean; to grow thin,"to become lean, to grow thin"
Greek-English,page_38,14,79,lx,exact,1319,1328,Greek,Greek:9,1319:1328,᾿αδυνάτως,᾿Αδυνάτως
Greek-English,page_38,14,80,ps,exact,313,316,English,English:3,313:316,adv,adv
Greek-English,page_38,14,81,ge,exact,1335,1353,English,English:16,1335:1353,weakly; impossibly,"weakly, impossibly"
Greek-English,page_38,15,82,lx,exact,1355,1370,Greek,Greek:13,1355:1370,᾿αδυσώπητος; ον,"᾿Αδυσώπητος, ον"
Greek-English,page_38,15,83,ps,exact,3442,3443,English,English:1,3442:3443,a,a
Greek-English,page_38,15,84,ge,compact,1375,1409,English,English:28,1375:1409,inexorable; unmoved; unrelenting,"inexorable, unmoved, unrelenting"
Greek-English,page_38,16,85,lx,exact,1411,1422,Greek,Greek:11,1411:1422,᾿αδυσωπήτως,᾿Αδυσωπήτως
Greek-English,page_38,16,86,ps,exact,313,316,English,English:3,313:316,adv,adv
Greek-English,page_38,16,87,ge,exact,1429,1439,English,English:10,1429:1439,inexorably,inexorably
Greek-English,page_38,17,88,lx,exact,1441,1452,Greek,Greek:9,1441:1452,῎αδυτον; ου,"῎Αδυτον, ου"
Greek-English,page_38,17,89,ps,exact,735,739,English,English:2,735:739,s. n,s. n
Greek-English,page_38,17,90,ge,exact,1460,1481,English,English:17,1460:1481,a shrine; a sanctuary,"a shrine, a sanctuary"
Greek-English,page_38,18,91,lx,exact,1483,1494,Greek,Greek:9,1483:1494,῎αδυτος; ον,"῎Αδυτος, ον"
Greek-English,page_38,18,92,ps,exact,3459,3460,English,English:1,3459:3460,a,a
Greek-English,page_38,18,93,ge,exact,1499,1530,English,English:27,1499:1530,impenetrable; secret; concealed,"impenetrable, secret, concealed"
Greek-English,page_38,19,94,lx,exact,1532,1536,Greek,Greek:4,1532:1536,῎αδω,῎Αδω
Greek-English,page_38,19,95,ps,exact,1538,1542,English,English:1;Greek:1,1538:1542,ν. n,ν. n
Greek-English,page_38,19,96,sn,structural,,,meta,,,1,1
Greek-English,page_38,19,97,ge,exact,1544,1570,English,English:21,1544:1570,to sing; praise; celebrate,"to sing, praise, celebrate"
Greek-English,page_38,19,98,sn,structural,,,meta,,,2,2
Greek-English,page_38,19,99,se,exact,1572,1582,Greek,Greek:9,1572:1582,ᾄδεται ὅτι,ᾄδεται ὅτι
Greek-English,page_38,19,100,ge,exact,1584,1610,English,English:20,1584:1610,it is said; it is rumoured,"it is said, it is rumoured"
Greek-English,page_38,20,101,lx,exact,1612,1625,Greek,Greek:11,1612:1625,᾿αδώρητος; ον,"᾿Αδώρητος, ον"
Greek-English,page_38,20,102,ps,exact,3473,3474,English,English:1,3473:3474,a,a
Greek-English,page_38,20,103,sn,structural,,,meta,,,1,1
Greek-English,page_38,20,104,ge,exact,1630,1653,English,English:20,1630:1653,ungifted; not gratified,"ungifted, not gratified"
Greek-English,page_38,20,105,sn,structural,,,meta,,,2,2
Greek-English,page_38,20,106,uv,exact,1655,1666,Greek,Greek:10,1655:1666,μὴ δωρηθεὶς,μὴ δωρηθεὶς
Greek-English,page_38,20,107,ge,exact,1668,1677,English,English:8,1668:1677,not given,not given
Greek-English,page_38,21,108,lx,exact,1679,1696,Greek,Greek:15,1679:1696,᾿αδωροδόκητος; ον,"᾿Αδωροδόκητος, ον"
Greek-English,page_38,21,109,ps,exact,3483,3484,English,English:1,3483:3484,a,a
Greek-English,page_38,21,110,ge,compact,1701,1755,English,English:43,1701:1755,not bribed; incorruptible; honest; sincere; unbought,"not bribed, incorruptible, honest, sincere, unbought"
Greek-English,page_38,22,111,lx,exact,1757,1768,Greek,Greek:9,1757:1768,῎αδωρος; ον,"῎Αδωρος, ον"
Greek-English,page_38,22,112,ps,exact,3501,3502,English,English:1,3501:3502,a,a
Greek-English,page_38,22,113,sn,structural,,,meta,,,1,1
Greek-English,page_38,22,114,ge,exact,1773,1813,English,English:34,1773:1813,ungifted; unrewarded; destitute of gifts,"ungifted, unrewarded, destitute of gifts"
Greek-English,page_38,22,115,sn,structural,,,meta,,,2,2
